,m_c18p_0001,m_c18p_0003,m_c18p_0004,m_c18p_0007,m_c18p_0009,m_c18p_0011,m_c18p_0015,m_c18p_0021,m_c18p_0022,m_c18p_0026,m_c18p_0027,m_c18p_0028,m_c18p_0032,m_c18p_0037,m_c18p_0038,m_c18p_0039,m_c18p_0044,m_c18p_0046,m_c18p_0047,m_c18p_0049,m_c18p_0055,m_c18p_0056,m_c18p_0061,m_c18p_0063,m_c18p_0067,m_c18p_0068,m_c18p_0080,m_c18p_0081,m_c18p_0096,m_c18p_0097,m_c18p_0098,m_c18p_0106,m_c18p_0108,m_c18p_0114,m_c18p_0115,m_c18p_0118,m_c18p_0120,m_c18p_0122,m_c18p_0126,m_c18p_0129,m_c18p_0131,m_c18p_0135,m_c18p_0137,m_c18p_0139,m_c18p_0155,m_c18p_0158,m_c18p_0160,m_c18p_0161,m_c18p_0163,m_c18p_0170,m_c18p_0172,m_c18p_0178,m_c18p_0182,m_c18p_0190,m_c18p_0199,m_c18p_0210,m_c18p_0220,m_c18p_0222,m_c18p_0223,m_c18p_0230,m_c18p_0233,m_c18p_0234,m_c18p_0238,m_c18p_0239,m_c18p_0240,m_c18p_0241,m_c18p_0244,m_c18p_0253,m_c18p_0257,m_c18p_0265,m_c18p_0269,m_c18p_0270,m_c18p_0274,m_c18p_0276,m_c18p_0280,m_c18p_0281,m_c18p_0284,m_c18p_0290,m_c18p_0297,m_c18p_0298,m_c18p_0300,m_c18p_0301,m_c18p_0302,m_c18p_0305,m_c18p_0309,m_c18p_0311,m_c18p_0318,m_c18p_0322,m_c18p_0326,m_c18p_0327,m_c18p_0329,m_c18p_0334,m_c18p_0341,m_c18p_0349,m_c18p_0353,m_c18p_0355,m_c18p_0356,m_c18p_0360,m_c18p_0363,m_c18p_0374,m_c18p_0375,m_c18p_0378,m_c18p_0380,m_c18p_0392,m_c18p_0395,m_c18p_0397,m_c18p_0402,m_c18p_0403,m_c18p_0418,m_c18p_0426,m_c18p_0428,m_c18p_0430,m_c18p_0432,m_c18p_0438,m_c18p_0441,m_c18p_0442,m_c18p_0447,m_c18p_0456,m_c18p_0469,m_c18p_0475,m_c18p_0500,m_c18p_0501,m_c18p_0527,m_c18p_0530,m_c18p_0572,m_c18p_0574
4000_1,2.13652286605034,-0.654815269136969,0.337888441065738,1.10160079351884,0.662778137053125,-1.05190868978884,1.26186629898061,0.322598692405185,-0.11950033934091,-1.58668129597794,0.566927069580628,1.16933091345066,-0.289798500584327,0.510701481139829,0.819119382394494,0.135689247455757,0.552550392099793,-0.667563563841174,-1.84963888414762,1.08655703031587,1.20093771521594,-0.951262797667335,-0.175444292905151,1.15305116818789,0.236117307856322,0.565797424308565,-0.97689460882922,-0.266476992142136,0.723759810568684,0.988243566370273,-0.918427011374816,0.724313463161334,-0.470366877604224,0.864782419818133,0.319541744617385,-0.690789958770906,0.0789482094491791,-0.0790253180354788,-1.13228390538709,0.302520276457908,1.05912201450342,-0.234678782844394,-0.100132410977808,0.0843080739624467,0.676574532906916,-0.767747847688353,0.209649574081687,0.80882814655312,-1.01490303894697,-0.704211505344643,-0.261228580942755,1.01988411450775,1.17459574768915,0.0226158536623189,0.516661410043764,1.3410848975571,-3.00514975429483,-1.78647769252825,0.0280426812870763,-0.556480850987818,1.35820316235102,0.873505131315689,0.640616241941925,0.398191069526719,0.43874320453577,0.366711767207547,-0.215879842717268,0.0140953004844456,0.852002133452353,-0.179971147215427,-1.29924298195649,-0.330426727544328,0.882205130198754,-0.434127934448849,0.0710347184446385,-0.199003070383772,0.328830422326611,-0.564698003565953,0.206883617375405,0.304486273744283,0.406868484244093,0.480376422916514,0.988095668998441,0.0172150086952553,0.131222189260536,-1.02992544326871,0.811200636592306,0.655574274779269,-0.93184852182336,-0.693907563133567,-0.0915100840612228,-0.160594837303027,0.799857361445489,0.845351185024773,0.362097754082329,0.965682220800105,-0.633775618743455,0.00199745295847686,0.235561934975269,-1.31051389193214,0.825648289970856,1.31740314845002,-0.0786899442304546,-0.104033064002651,-1.94542224323001,-0.394339440374066,1.01464136349582,1.5932458969113,-0.737656058076907,0.112462150178272,-0.469492677703869,-1.57016503047066,-0.000761827186176823,-0.164398599804856,0.334266799235787,-2.23317113062198,0.760155888611259,0.826251784165832,-0.228061014098996,-0.792392855719648,-0.295036584529723,0.0980130907243204,-0.973548193121313,0.906230412030562,0.891205146247657,1.07510166222012
4000_2,-0.355017148906631,-0.0540480874988657,0.382515867584382,-0.557415865380811,0.479077771576875,-1.21509239639093,0.918133379539548,0.0580907585447673,-0.498066437670059,-0.99546578467588,-0.579182248456938,-0.782678575972627,-1.0021261057818,-0.375893475750291,-0.00931870263073622,-0.506326036673624,0.359954986096831,-0.0846452658911823,-1.59113970830378,0.0637950843142474,0.865214210449518,-1.02387305183971,-0.257739501090811,0.2092813583542,0.616994681548403,1.84097004778637,-0.474432409040369,0.277806735383149,-0.211435898860245,-0.00640967581780834,-0.985445431639843,0.468149021394782,1.48246038127529,0.747014072968186,-0.226689509817998,-0.877155596341189,-0.61504228716177,-0.0881826906238083,-0.197354321563654,-0.662198977892781,-0.418892247625324,-0.659314715358471,0.243843020788799,-2.01908380305455,-0.780717291375486,-1.05734985973614,-1.41644362671768,0.621984831953863,-0.574026483976985,-0.61959172341507,-0.755580006150028,0.4324145710374,-0.37468666312671,-0.0143996309181575,-0.0119718079494227,-0.0262700387653455,-2.28652165146488,-1.45295222889861,0.327723301509179,-0.604661260149571,0.063816518074506,0.0257033522803238,0.373520072006084,0.37133854249301,0.263426560513745,0.296663085704849,-1.08464245578294,-0.65748552531805,0.104376284002613,0.430556784437188,-1.26707638208909,-1.31814309771582,-0.424141865030577,0.199091575955538,0.303360854172577,0.769254089269729,-0.255699778934435,0.114971129691219,-0.285798583042318,-0.0417459983409457,0.527415703325894,-0.161417199710157,0.418964395506559,-0.767932142134731,-0.288042393019928,-1.01509897310631,-0.248897815009807,0.0266722155444699,-0.603860788219809,-0.560108238496622,0.25702469933689,-0.0755823328189584,-0.537586417142081,0.781935882342939,0.548184740615092,-0.251469969818539,0.385109142482061,-0.141400536147119,0.0767454817707679,0.702905203985475,0.335101673659281,0.513352162276235,-0.230161474906979,0.153218698698315,-0.00579541387925913,0.195368209578291,0.142359906808361,0.248390068570658,-0.896661456843323,0.316855782855765,-0.980839006179456,-0.198538539498776,-0.156753290504594,-0.0807214608044246,0.471043144808972,-0.139408596607843,0.807044404772688,0.925914331520265,-0.449598573534182,0.768891295380827,-0.184008018131695,-0.77118499476264,-0.973548193121313,-0.0530452943732572,-0.681546781421656,-1.81125766349836
4000_3,-0.485091782731405,-0.422180641987463,0.412157950046092,0.562059454733043,-0.0889473432213662,0.116438692587205,1.59127990007544,0.4483852111303,-0.413877865220278,-0.899154436037082,-0.330923419748854,-0.731985782397291,-1.16555796888997,-0.201523941313796,-0.239084373653389,-1.05697236957805,0.0858944676830649,-0.479527994932093,-1.12002479140935,-0.562945270716972,1.64301036951786,-0.944043474239815,-0.0146516677323159,0.257447720680955,0.227125991183833,1.90838689462695,0.0337612995470037,0.71372035608342,-0.283536816421702,0.373567216882792,-0.924169787252512,0.13846521668082,1.9877724570641,0.624952445560777,0.344978563384467,-1.14215887174055,-0.0335964292301106,-0.703267146648745,-0.364005695608468,0.362739777796979,0.155339492425981,-0.965195359603829,-0.00780436411859376,-0.633002306211157,0.44664595669843,-0.810110102365861,-1.6076156084065,1.05761775055707,0.182635786205435,-0.808927846523867,-0.597024127755493,0.677608211600983,-0.894055373739104,0.368348498746672,0.0861791880649515,0.0617739528439498,-1.8948603810218,-1.4845129079359,-0.0579592153553617,-0.340820721581036,0.137863129111776,0.197443150219671,0.491954445504303,0.318201760536002,0.308976066093561,0.408107317486217,-0.257215799031006,-0.588486177717384,1.0798467769142,0.710627558396237,-1.43064332062178,-0.384984066101854,-0.212943596132969,-0.222575848642614,0.169691660442573,0.108221410915213,-0.0667859136232155,0.537594346710069,-0.456719303569052,0.0179739460119054,0.504524509391065,-0.115377548096349,0.541521183595918,-0.340688273305505,0.574026309463112,-0.912851485801396,-0.0238496452120351,1.37542470518743,0.284847561649565,-0.255674904146685,-0.74614312380471,-0.186708540953441,-0.00509608974130248,0.752271556626246,0.798742922831311,0.21822891387271,0.570530132148963,0.155768204670718,0.18867681343282,-0.0912469020617779,1.34880374745829,0.490627048762275,2.06996671674251,-0.363419425938989,0.144764391402369,0.520990077632732,0.854247065388156,0.340836273729132,-0.923704100451485,-0.111992971473286,-0.980839006179456,0.319131754286752,0.260559186474093,-0.284930092408638,0.493409253798688,0.0901921649719247,1.27941403969481,1.14203214317192,-0.271347057673237,-1.02777066693936,-2.28627868260258,-0.278244892840592,-0.973548193121313,0.231724687862189,-0.149326657004825,-0.221408703224448
4000_4,0.596172476609783,-0.207025466301752,-0.120194415192871,-0.0090485760717383,0.0891808973546028,-0.701837405008025,0.680877254140549,0.809520897756757,0.0229174192247039,-1.58273665657616,-0.420505091249291,0.020390004182478,-1.31997427026994,-0.121594376043328,0.110113370697521,-0.0191899295873132,1.38311188518733,-0.187486963123194,-1.10781175871683,0.401774959318749,1.60988986043289,-1.37291211848422,0.0159556248296706,-0.437217770023383,0.273208700091995,1.1862699534799,-0.773319722513029,0.00854536069057456,-0.539028375566899,0.252633122317365,-0.744121113167571,-0.0130696316847658,1.40650387763994,1.42881514373782,0.0314941960806609,-1.18704910965327,-0.779086826375693,0.564543245983966,0.905537376606082,0.247082319688417,-0.249045904638415,-0.139141115054356,1.41000100321534,-0.681492842685061,-0.282395472754582,-1.02385027999135,-1.08970808592195,1.35321998788262,-0.105426674634286,-0.839309734381835,-0.211571105844546,0.901218320752789,0.287395759162534,-0.13906773117161,0.0767253781884323,0.561826374984102,-2.24087342470424,-1.34808676311269,0.0403790964105479,-0.467945314666704,0.808725548232293,0.480763285040032,0.462668260751825,0.613873382714616,0.552313079494947,0.79084645395584,-0.681668839688441,0.0982271992529263,-0.331423845358361,0.81283144846406,-1.4150584902274,-0.462298969167163,-0.500295938926761,-0.232016718893598,-0.13776461007244,0.75738775467866,0.0657698632189938,-0.136247934980917,-0.269487574701121,-0.0760210604590444,0.473569892175823,0.382771800226595,0.643225193261373,-0.649233042818384,-1.00661305767258,-0.7746607834377,-0.252395334520495,0.456007753915869,-0.518080348551171,1.28923678460993,0.973827330937991,-0.614486623637524,-0.987420860665265,0.531316132205556,0.618347419409605,0.601976369083327,0.0932853275992245,0.145908027166116,0.274034856508767,0.213364544342558,1.1604167108218,0.87624852974246,-0.135235238085712,-0.0235379050932573,0.258174032801727,0.861274024531377,0.344614049280158,0.903061101429389,-0.975243351424373,0.933032065660396,-0.320164375985459,-0.3768508008452,-0.331316167022381,-0.241255418511889,0.43735160648138,-0.438652720846919,0.563028482912777,0.83217814796962,-0.424881136234871,0.738382152612624,0.309451695000821,-0.817588122733976,-0.973548193121313,-0.114838354259505,-0.573532154332453,-0.516755167818211
4001_1,1.42867237629782,0.0780167118934516,2.15009470179667,0.0296005545418614,0.0389782091580019,-0.733955053887755,-1.45610894403006,0.387592109188749,0.604033869163742,0.445057994791152,-1.41176258701075,1.42779191673795,0.53267486286616,-0.587440038680478,-0.999713828315446,0.632445598219009,-0.656924669556901,-0.0965953172976049,0.0323028211612574,0.120589427060617,0.0585712064573978,1.30688611806071,0.597947541596083,-0.025574889228781,0.207998487320869,-0.937751746196348,0.295077997089471,-0.624137958296247,0.251911884328729,-0.62955011017776,-0.354674173486408,-0.921182091195088,1.76858182169871,-0.954203188390933,-0.384344965193627,0.859949775509553,-2.1674894174827,-0.430417836788963,1.77722317443907,0.0850376808697736,0.172842499639804,-0.313905441721649,-0.762781410357612,-0.0322526513532315,0.273302534088633,1.19143452833949,-0.0217197238938671,-0.696633129320274,-0.887792980383463,0.444490765539447,-1.24004346803571,0.206291559753802,4.0190514631078,-0.696871273276639,-0.401604464052887,-0.171188090228712,0.799056040593072,0.33573001384662,1.08105269904132,1.22723908815242,-0.359824792145299,0.0404347945447008,0.81970376041946,0.433277960675635,0.436794225079516,0.121251666918779,0.810241002334916,-1.42648549680292,-1.13678639390189,2.45454611029601,1.13110567799262,0.25922513725956,0.628053090890736,-1.31629347970756,-1.13363757223667,0.412806562590423,-0.637295956368317,0.76400165152899,1.49933752266876,0.999040392791473,-0.983465033246396,1.02601935997005,0.880987539517867,0.488290669416068,-1.07031105045548,0.44448459366253,0.115471329186496,-0.37375242968137,-0.502565255502556,0.855616916543064,-0.640198830236122,1.07999554718209,0.330091543381439,-0.993016146743555,-1.18208951483062,0.912442365874123,0.756985982549048,-0.733255239941647,1.23594834333022,0.482773262671442,-0.527482447001267,0.0436433324221603,0.300740677918038,0.607896065563883,0.57792154709319,-0.541984462995895,-0.405253970126713,0.571917877858715,0.845490122716695,0.40949971506091,-0.980839006179456,0.347147815940869,0.0825954477188133,0.885893616385704,-0.166000683827399,0.242094283994247,-0.396573371922829,-0.97489113618242,1.23585642439743,0.772517320275453,-0.181520216314929,0.661473526971388,0.729744562487784,0.644883733970258,0.190536795056685,-0.0333309413376345
4001_2,1.15374459019158,0.492984771345499,1.78292065797437,-0.296289119123663,-0.67251104879611,0.857186118287396,-1.29142358054837,0.447174938764963,-0.354189224196358,0.577841763819453,-1.42569735008927,1.56378989099287,0.60058660808737,-0.660456849061684,-0.80143156493538,0.138979081245792,-0.393298559025404,1.28039518386294,0.665515195431839,0.924824641295261,-0.552695555756495,1.98350058116175,0.28643908960277,-0.778870711702487,-0.00656986046329734,-0.967689277438835,0.722482279737494,-0.542609092388547,-0.596939760227622,-0.855677854969486,-0.534582206538103,-0.144898076475399,-0.470366877604224,-0.864686392004965,-0.861818779254978,2.23247685243218,-1.10421722639472,-0.650596498055329,1.17376654457395,-0.6418181968311,-0.183846740334784,-0.142093445477075,-0.754420630516025,0.154092121098756,-0.683936685528824,3.04778790617524,0.623792423078025,-0.0375482240996798,-0.411703267893897,1.27189630089966,-1.34080878669536,0.791165483558364,3.89023185259142,0.0338617280109634,-1.62124570964467,-1.4175285209975,1.35188560612955,0.548193540786718,1.05574149917931,1.15375349017053,-0.163360844611611,0.253703910407275,0.680077174361529,0.541577330316815,0.380433004306682,0.28177596111598,-1.06118020575502,-1.76511848824909,-0.622369083795692,2.58944488209231,1.49028058477494,0.176488046609334,-0.0464767017164822,-1.07814887358712,-1.33147241012476,0.564564726818034,-0.257703653822546,0.723951666203876,1.50935213948635,0.894484857370391,-1.01083531476712,0.33565158237545,0.795466007077129,0.208995591664657,-0.80882125485499,0.417709780414342,-0.475631738738253,-1.07167709834306,-0.216571064157762,0.354149871383703,-0.831116167727081,1.00767887055509,0.0752780140306297,0.263827153719686,-0.387876006274601,1.19502991667405,0.988463208063408,-0.803888013785382,0.846057937623912,0.4836112438827,-0.206527453744405,-0.731564364818903,3.19355281425969,0.186749288181312,0.90623035407583,1.00271349437674,-0.5405487000633,0.139016892453538,0.675331125976236,-0.591953601643425,-0.980839006179456,0.903800284921736,0.299584009981494,1.00154501071334,0.129212417166276,0.778152355020462,1.1004848321352,-0.443551687648346,0.973274537603798,1.05560306508173,0.564791619157517,0.892543123539836,-0.973548193121313,0.182942368616479,-0.317376213748857,-0.97180732894772
4001_3,1.29794106198552,-0.251053986087835,1.29568341200033,0.328501350459829,0.537018777858503,0.35700497505359,-1.36128582646964,0.346318457556157,0.803450568300217,0.458403863532941,-1.65113911222012,2.62809971933354,1.17351763939314,0.563505293736066,-0.806460544107005,0.775638262287329,0.948605261776565,0.31758562511615,0.496852710461098,3.01813554623962,0.0420513355534887,2.19435591094921,0.6224557317616,-2.36081354407906,0.294290360381714,-1.37185978010541,1.19033590449634,0.043086491722141,-3.68859917062467,-4.22086758392704,-0.347005862649689,0.348127945596228,-0.470366877604224,-0.418343103812297,-0.511432921656242,2.74676090373305,-2.24199501501308,-0.50307256416124,0.354111557268755,0.264880462236,-4.94485096612566,0.217760190224662,0.288547424203478,-1.65679402278029,-1.82526582518942,1.06818287687309,-3.65038694495943,0.733039994822265,-0.415993282224355,1.96520064422779,-1.37565475241219,1.57738545255507,4.25733444057892,-0.505539515096999,-0.891842946008168,0.469897328008914,-0.0200805712308346,0.575731636672782,1.18181790800728,1.54948203719728,0.458376232201315,0.830519964430656,0.756214382079018,0.638921817744482,0.546866050770944,0.502382887608287,0.530484662887739,-1.89886523301664,-0.943580704647485,2.57693892861568,1.31299031111874,0.209577735177441,-1.35949524542516,-1.32844093637512,-0.46545794859474,0.705868273398182,-0.241529936850201,-0.107887715269793,1.70075305634486,1.00811620111156,0.400990081806051,1.41850825314879,0.976656334216442,-2.66894797340874,-0.622956034382351,-0.0935855257360915,-4.03033615786831,-1.6423968672339,0.20741269656005,0.891335116825289,-0.161427418164739,1.02657395442051,-0.179842509190635,0.174320451221131,0.0646708501343595,1.91980213230769,0.377847581885795,-0.496397397451334,0.762809397452476,-1.35566351401966,-0.046335929953547,-0.0593442904910634,0.126107181229324,0.650238481672964,0.828623736804208,0.27547168379969,-0.851852264322763,0.554159253655084,0.374692972356399,0.418466900459902,-0.980839006179456,-0.712599485539157,-1.77903030747937,1.59106154918325,0.412375004530054,-0.980373161717288,0.756042073373282,-0.260452997457262,1.59360874812105,0.943265230026204,0.259920618700646,-2.63039226888748,-0.389207827480159,-4.7039257351358,-2.36071627500843,1.05129149584729
4001_4,1.01540554293569,0.0973585446190974,1.97947231037516,0.895021626168222,0.210685639747896,-0.358703576136926,-1.48205899311319,0.746101063948258,0.128072906881681,0.416850533847619,-1.57609615894492,2.26512024644601,1.8937539913957,-0.23560236905891,-0.173789542830689,1.27738120508985,-1.03032095676644,0.229573772337356,0.532437221580938,1.67673492049904,0.751396694857447,1.55460437028081,0.332433687687123,-0.144747853965086,0.560425060416075,-1.34382864376071,1.19758676310738,-0.118883784958209,-0.781677256344274,-0.765293267091552,0.924086011928054,-0.250843584959237,-0.470366877604224,-1.54578614470349,-0.786108161280369,1.86211980636866,-0.55721134185941,-0.311555814642569,0.0870803033080203,-1.03536570897058,-0.033334133061702,-0.0334574318261038,-1.28677388904934,-1.09425541644374,0.583248840519533,0.397542680360012,-1.11634337038006,-0.103982677078934,-0.47666206745746,1.65162618729847,-1.39843712336134,1.52362890163228,3.64642266565976,-0.829889450958312,-0.488362136609542,-0.784246560823382,0.459069196577799,0.467467643575137,1.07112718162009,1.28319908791016,-0.0676148553232425,0.308814644883532,0.527113025208081,0.160473266003762,0.114422331461934,-0.230528490739369,-0.847253090307997,-1.97900255890618,-1.562026931316,1.87679592831766,1.33853447706958,0.173775226937334,0.334434868297725,-1.30702159156139,-1.16443660388302,0.552465582092128,-0.75433133873221,2.18043948880338,0.719522998762883,0.496034351644775,-0.31734455221786,0.580466623495022,0.540194643545726,0.753100290617447,-0.933365450117729,1.08370014830174,0.0625758961047861,-1.53156733121344,0.107002334819299,1.51257191594648,-0.226866157368716,2.27260343430399,0.348239680563777,-0.535099976921306,-1.43210944699579,1.21263714396476,2.3770150389914,-0.806722853823243,0.476113824172207,0.749431146009409,-0.977704653532633,-0.611359901567514,-0.340099406367639,-0.173706112420329,-1.14256225514074,1.10037916642718,-2.04746226911528,0.574142075743314,1.16735538308868,0.0835424534674774,-0.980839006179456,-0.998061059422555,0.150263206685492,1.5323344850163,-0.667013475771112,-0.193807045729804,-2.06888859530944,-0.356622463301282,1.24129347375538,0.250867092005812,0.570819983774784,1.104541913278,0.848081030173417,0.684605946946574,-0.195113589030341,-0.910251232206785
4002_1,1.28738771276006,-3.78417272654252,-0.255767935895052,0.121571537728591,-0.505981025520649,-0.399051068359634,0.499910042331009,-0.283943229432065,-0.044845112596603,-0.874237804815099,-0.0153335627973902,0.362830259051166,0.12907891269126,-0.570488686032731,0.0607431492394209,-0.0555224394901788,0.528692836062193,1.18031357658113,-0.759317353423168,-0.175365866199542,0.92797119241223,-0.802732312808227,0.497752247385146,-0.361922166106064,0.212635695642853,0.413890195339961,0.0863503508820494,0.663230157800708,0.234706164659603,0.499186202410178,0.542217819885694,-0.545800699685192,-0.470366877604224,1.11376984026149,-1.28643299831407,0.487492262605363,0.0296082934445002,0.0504499020580914,-0.674802020374127,-1.10738597108134,0.221037092465892,0.921841184756783,1.1733556818015,0.164169437397481,-0.735656403509119,-0.820526491608188,-0.141234047200755,1.97730552398137,-0.780621645280598,-0.454860810030413,-0.0332598389550401,0.752548130321349,-0.329288022768753,-0.00424621602190807,0.13962176011194,0.0524426986171936,-0.709066577788013,-0.789046575850075,-1.44266803503126,0.219507262090643,0.375352033044394,0.00905653321321791,0.800964458005021,0.645474581696232,0.698283211836827,0.748039675060713,0.0636124071817254,0.0285210584997062,-0.517434236003309,0.430556784437188,0.109400880485922,-0.268065864774916,-0.218923494241365,1.2760932143532,0.0334010958336276,1.23631745810371,1.03209075341588,2.26228009706598,1.3654631225724,0.818658514523691,-0.0847267469033613,0.478826375485231,1.43774462513389,-0.447134109691662,0.88849969187669,-0.843876662898899,0.126363625731854,0.137137414256232,-0.183812926517285,-1.56130269517545,-0.945007121489577,1.50525045189829,0.633914006998222,0.0106561880837594,0.581586635529693,-0.0927952103068737,1.94375636950365,-0.103309505309518,0.695187135468323,0.336304413676579,1.12503363069573,0.371474155900286,-0.195678040157455,0.148901829296137,0.387094020111659,-0.745818122139747,0.366459386854851,0.303141768079705,-0.67544299886913,1.0980569787819,-0.980839006179456,-1.83123552245397,0.0398016421247268,0.092963641695589,0.254904114381776,-1.13750573608622,0.725837970696717,0.228240795161959,-0.632762537866488,0.806136755271643,-0.0508544891074835,-0.596015563095274,0.823203419024061,0.302716654204367,-0.0370795685171175,1.05834445795134
4002_2,-0.151078746777849,0.0902815488344057,0.0602565296305922,-0.478181193056809,-0.0880879331187628,-0.105319116065982,0.787817267333455,-0.761874689650155,-0.600536457012736,-0.763224871115969,-0.70410598350862,0.630114675954518,-0.466819096292049,-0.225839309577429,-0.353649566403141,-0.650796207226604,0.456975236405442,0.560225687334408,-1.25886568254346,0.125380311509797,0.221246942957888,-1.04851969048306,0.063289220417211,-1.14207822957985,-0.000276284124665464,0.436383311378248,0.166731710078461,0.638438922209215,-0.338570019447403,-0.408118633872357,-0.539063766843138,0.149258599356759,1.92965754382323,0.901780551718724,-1.50742422286578,-0.107616126295381,-0.0368037722117766,-0.355074444947534,-1.8929783104035,-1.70273082151256,-0.627251223799334,-0.521291969961521,-1.63411538032281,0.338053223328152,-0.205998529903376,-0.729429791496181,-2.24481024113986,1.0453810344481,-0.868898692746674,-0.606922707916755,-0.340499793793539,0.327609930606227,0.0213526823604872,-0.201982188797575,-0.112436381324475,-0.242263560753785,-1.0289126995004,-0.852504130683392,-0.148028899159236,0.358514615113399,-0.572671415529968,-0.345055076801713,0.451651311407742,0.243712274312672,-0.0132678200816161,-0.101710120719616,-0.570813626938901,-0.147704877311958,0.420804165304485,-0.721120043492188,-0.658384812788658,-0.60627195206765,-0.0797563833312359,1.30408847583681,-0.169917503658072,0.847522367225034,1.12675309644571,0.830885144351672,0.532575462723255,0.309564315788967,0.516556212113326,-0.0829691220931313,0.405287914880525,-0.757427867692917,0.208040650926916,-1.06899524321019,-0.0968420578523368,0.409235019179502,-0.210877070738143,-1.01032263991331,0.171753721568127,-0.0849888347076535,-0.788028990068075,0.363704640626994,0.453963921935777,-0.44936267809941,0.739283488582988,-0.400629314085448,-0.38882667131219,-0.160270683532076,0.485044967446773,0.355159780786814,-2.63232352126313,0.116287472641219,0.247478713339514,-0.447369311798025,0.644052034214849,-1.79691845534558,-1.04225766308843,0.539815226267683,-0.980839006179456,-0.735275542895973,0.154395731394725,-0.337217723771957,0.445581113475828,-0.124881949877315,0.809946304406363,-0.221629207893867,-0.516281034510006,-0.99609675465013,0.273284224146922,-1.42856729029544,0.810094735892481,0.157797890096394,-0.0154936457043586,0.56774283187957
