,m_c18p_0001,m_c18p_0003,m_c18p_0004,m_c18p_0007,m_c18p_0009,m_c18p_0011,m_c18p_0015,m_c18p_0021,m_c18p_0022,m_c18p_0026,m_c18p_0027,m_c18p_0028,m_c18p_0032,m_c18p_0037,m_c18p_0038,m_c18p_0039,m_c18p_0044,m_c18p_0046,m_c18p_0047,m_c18p_0049,m_c18p_0055,m_c18p_0056,m_c18p_0061,m_c18p_0063,m_c18p_0067,m_c18p_0068,m_c18p_0080,m_c18p_0081,m_c18p_0096,m_c18p_0097,m_c18p_0098,m_c18p_0106,m_c18p_0108,m_c18p_0114,m_c18p_0115,m_c18p_0118,m_c18p_0120,m_c18p_0122,m_c18p_0126,m_c18p_0129,m_c18p_0131,m_c18p_0135,m_c18p_0137,m_c18p_0139,m_c18p_0155,m_c18p_0158,m_c18p_0160,m_c18p_0161,m_c18p_0163,m_c18p_0170,m_c18p_0172,m_c18p_0178,m_c18p_0182,m_c18p_0190,m_c18p_0199,m_c18p_0210,m_c18p_0220,m_c18p_0222,m_c18p_0223,m_c18p_0230,m_c18p_0233,m_c18p_0234,m_c18p_0238,m_c18p_0239,m_c18p_0240,m_c18p_0241,m_c18p_0244,m_c18p_0253,m_c18p_0257,m_c18p_0265,m_c18p_0269,m_c18p_0270,m_c18p_0274,m_c18p_0276,m_c18p_0280,m_c18p_0281,m_c18p_0284,m_c18p_0290,m_c18p_0297,m_c18p_0298,m_c18p_0300,m_c18p_0301,m_c18p_0302,m_c18p_0305,m_c18p_0309,m_c18p_0311,m_c18p_0318,m_c18p_0322,m_c18p_0326,m_c18p_0327,m_c18p_0329,m_c18p_0334,m_c18p_0341,m_c18p_0349,m_c18p_0353,m_c18p_0355,m_c18p_0356,m_c18p_0360,m_c18p_0363,m_c18p_0374,m_c18p_0375,m_c18p_0378,m_c18p_0380,m_c18p_0392,m_c18p_0395,m_c18p_0397,m_c18p_0402,m_c18p_0403,m_c18p_0418,m_c18p_0426,m_c18p_0428,m_c18p_0430,m_c18p_0432,m_c18p_0438,m_c18p_0441,m_c18p_0442,m_c18p_0447,m_c18p_0456,m_c18p_0469,m_c18p_0475,m_c18p_0500,m_c18p_0501,m_c18p_0527,m_c18p_0530,m_c18p_0572,m_c18p_0574
4000_1,16361,732,919,15544,118251,139752,385013,32626588,6325861,3162,128665,322817,524381,945956,233167,5866078,2772790,7633,25122,88332,6391360,34729,3580,57761,734305,1544230,3271783,18754,36536,93687,30166,57639,0,51237,593825,20794,16192,41291,17671,658024,154678,288762,81749,7348,107796,9721,29148,65477,355619,690697,368226,2880139,56737,53900,67178,23922,1432522,45437,13879,11984,18129910,46645736,36270,37987,74659,116742,3302,124028,65920,7624,3564,48143,212409,322386,95682,107538,89038,404367,201681,976263,983170,8040487,23485,246848,12609,9653,870854,78284,72307,3853,10402,1672,53531,56598,660566,30601108,3829,59661,401535,9064,454753,51180,1672,10717,0,24587,61007,25452,476330,728857,4,21854,247,20223,19530,1727,1639276,20949,5360,76322,125,15228,0,773484,33208,39212
4000_2,1092,2600,979,9173,109523,132958,272935,31308808,5933950,4201,75734,198038,457468,767968,180265,4820794,2463079,9317,27416,75753,6030931,34151,3109,37092,1127620,2163353,3854636,23296,19126,43373,29325,53401,296,50117,425913,20071,12602,41092,25113,460976,58844,238997,94222,2811,65108,8271,12348,62230,398491,699641,308865,2469211,6353,53053,57339,16886,1750953,52088,19046,11701,14067640,38440252,16665,35521,56224,107760,1776,105059,43126,9135,3641,17796,52784,373556,121404,136344,57046,754918,126976,487639,1122322,7057080,13908,102135,9035,9730,245026,61925,100550,4094,11772,1820,20907,55838,840103,23687438,7680,54519,384911,45946,338144,41688,1449,13875,201,29304,50649,454,433382,858554,0,127794,194,23854,24095,37315,1681458,21771,4244,2683362,164,6024,0,205117,7407,12194
4000_3,948,1196,1021,13094,86405,199673,535386,33272576,6018952,4400,84947,200567,443362,800106,167848,4073979,2081047,8140,32149,68947,6899026,34787,4716,37940,726907,2202258,4549822,27715,18195,58209,30093,48402,1295,48982,603087,19086,15547,29705,23588,672806,85659,208554,84925,5295,99553,9494,11162,70065,484462,679787,326780,2633066,3049,62494,59050,17269,1953372,51419,12674,13337,14273283,39976740,23527,31103,60523,122398,3206,106866,75020,9925,3266,45568,66109,338650,105862,115949,65874,1112978,108146,549664,1094462,7123434,15569,165092,17929,10278,320721,102377,245695,4700,8245,1629,30399,55486,1161247,26147942,8717,65715,396554,24222,623739,41447,12728,8260,304,32286,58955,599,426473,608886,0,248871,370,15942,24937,52265,2171928,23666,5121,44624,0,10193,0,304177,12307,23204
4000_4,3070,1883,480,10920,93074,155521,215242,35199176,6479910,3168,81500,242132,430434,815284,187078,5594834,4621090,8995,32282,79698,6859632,31504,4970,27385,765628,1819511,3496480,20926,15246,53006,32468,46264,237,56958,498361,18924,11877,57984,38015,644703,65756,301316,152485,5179,77359,8427,14674,75936,449739,676654,374786,2791959,16194,50297,58883,19615,1773421,54374,14061,12522,16278925,42646880,21604,65128,89715,189562,2368,126634,33676,10230,3300,42153,48669,337907,77250,135948,72872,599359,128936,455255,1057885,7882534,17097,116712,5103,11068,244003,72672,109606,9469,15183,1063,15239,52933,919818,28346732,6292,65309,405669,30964,556657,45732,1585,11619,415,35727,52882,3226,413609,1406649,7,101579,148,17377,22880,24053,1473206,20997,4356,2503043,546,5733,0,188308,8211,20590
4001_1,7584,3435,11966,11055,91144,154003,25351,32958786,7148354,8394,51533,344393,613904,730706,132528,6828001,1317919,9279,47461,76402,5245838,58529,13475,33221,711416,1037706,4954764,16263,26357,26772,38266,35291,683,36419,386956,27914,7193,34304,52755,607292,86645,278749,62184,6967,93758,28992,25795,43462,367483,822507,259986,2327153,3159188,39617,51022,16274,4145438,108370,42199,29029,12946791,38569700,61094,41469,74424,88184,6868,86874,21321,16635,17915,87207,162007,262569,27839,124937,42658,1370256,678888,3929366,213589,8983623,21280,419156,4851,21271,378884,53339,111329,7779,8561,5763,38476,38247,89835,30260234,9901,37583,524074,38475,200835,36980,2393,21901,997,23530,45065,1197,1220381,924711,0,258012,281,160686,9058,65316,875885,10449,25065,2705639,165,27779,108,538769,17020,25039
4001_2,5626,8240,7115,9967,67726,250361,29894,33266300,6079954,8947,51202,356319,621946,718269,140947,5871980,1549881,14860,58789,86212,4719716,68437,7901,23328,558700,1029525,5696212,16800,14647,22472,35469,44481,0,37036,289396,36225,10561,30542,42048,464455,68620,300920,62399,7586,67325,81643,36275,52003,415546,932772,250835,2712594,2633396,54160,35406,11847,4837616,118223,41086,27990,13455027,40493320,40686,54361,67939,105942,1806,79899,28550,17313,22743,80232,78943,277527,22730,129672,56959,1320765,685303,3186287,207265,7807394,19669,306227,5972,20968,186819,41121,148414,6197,8000,5362,32166,49999,250665,32113980,11597,35951,472402,38501,243797,30344,36782,14350,2450,37263,43783,327,1103011,414494,0,528324,393,201880,14254,143434,1971239,12829,19007,5159276,1016,35545,0,284323,10484,17127
4001_3,6580,1716,3569,12157,112204,214895,27875,32747436,7393285,8448,46133,465096,694124,957773,140727,7133502,3537495,10691,55531,118065,5230876,71855,14053,11103,784023,925188,6635612,21216,1723,1659,38390,51524,0,40272,358162,39941,7002,33014,30898,648950,3050,353237,95977,3317,45361,27066,3794,64140,415086,1036469,247746,3333176,4423996,42997,44053,19161,3297654,119564,46937,34060,15198650,46190396,50783,69336,88928,136323,5625,77301,23792,17249,20216,82952,19478,261828,55214,134242,57665,615177,820250,4001519,976844,9729719,23239,12056,6923,15943,2658,33241,227294,7906,10147,5464,26885,49054,449806,37404276,7642,43616,462047,8740,268564,36021,2029,22852,1981,30011,40970,1135,922549,931379,0,65927,15,646127,22019,10862,1635626,13769,36540,3993456,484,828,4,328,1492,38836
4001_4,4841,3578,9398,14556,97916,172703,24701,34852944,6596056,8281,47762,424700,796859,793721,171287,8315924,1047518,10374,56203,96520,5913410,61978,8549,31414,1058022,932070,6651329,19890,12889,24101,65632,43098,0,32592,303039,33765,12868,36524,27947,401690,75717,315840,50088,4289,104371,18620,14469,51071,408635,988212,245747,3286553,1865887,37425,49713,13921,3769887,114378,41759,29846,13709897,41005812,26063,20969,44182,58990,2104,75785,16749,14019,20562,80013,118475,263136,26974,129288,39020,5032994,326398,1433342,443866,8205750,15550,564465,5409,29960,355653,34643,205470,10478,9914,18930,38970,42169,65036,32233170,29939,35887,428092,47702,153018,31289,1306,9993,8,38362,31747,1205,1477625,712162,0,45650,312,575424,4196,34452,353926,13267,25209,823603,1031,44566,150,569210,11781,17559
4002_1,6505,0,396,11383,72601,170588,179582,29683390,6406151,4453,98294,263803,568211,733624,184231,5533042,2732405,14360,36318,73080,6096726,35942,11349,28370,715141,1483440,4628564,27163,26045,64155,55866,39470,0,53688,223507,26008,15906,44210,20987,391158,89419,483363,138293,7621,66131,9439,24217,89997,377793,717386,399320,2685283,6774,53284,60003,17228,2720368,68365,2936,17610,14953341,38294496,57850,70481,113608,180511,4031,124471,30302,9135,9087,51265,65689,479926,92062,152882,152124,5425916,598683,2736920,573043,8037954,35526,146476,23021,10665,383853,64528,153383,2600,7683,8807,47637,47372,877152,24491604,22270,55840,453803,34190,544887,40206,1497,13815,591,22145,53129,535,494270,1605504,0,15615,263,33606,17289,8625,1609075,16629,3499,2921196,227,7262,140,335573,13698,38947
4002_2,1363,3525,620,9407,86436,186598,239559,27552516,5832108,4697,71483,282057,506890,795545,161980,4612536,2614512,11616,30675,76457,5395478,33957,5390,19672,562674,1492288,4751561,26896,17515,31779,35402,48558,1093,51594,195387,23229,15529,35695,13276,314028,51349,254152,43397,8251,79431,9931,7972,69832,369280,700990,357991,2402322,11119,48961,55639,15982,2487876,66611,11524,18867,12417817,35321596,20922,25819,35937,68347,2563,119166,51610,6495,5456,36461,76192,483062,74746,138985,163497,1457075,273842,986253,1109018,7170516,13734,103348,13403,9453,293905,71416,149266,3338,11421,1803,17532,51075,743813,22721414,9782,46322,340039,22911,370197,40039,149,13370,403,24202,56370,0,397461,1026487,0,64030,314,14379,23171,38119,1684104,13977,3956,47966,500,2987,135,274601,13983,31934
4002_3,4465,20589,1116,12094,42408,161461,154091,29811932,4908816,4039,136968,180814,433766,898369,171163,4472758,1824021,13569,37282,63065,4249711,32032,5654,72759,766975,1496802,6351098,24189,32209,90756,34909,47032,0,38039,185393,21563,22319,33303,32618,849223,112385,204731,57862,9999,97136,11362,41796,57537,464448,715063,328904,2255968,18839,56318,49505,10686,3294895,65347,12289,13213,11751045,32378222,2150,940,6874,14752,1431,106312,33373,7898,4729,53149,59179,418577,107783,121145,264420,315151,137839,319835,1162148,5646712,3511,229881,17733,13978,325968,57215,190318,4588,9649,308,66949,52451,1479556,18653866,3880,34549,337362,41003,249152,43028,53615,4897,541,25236,57956,0,613660,895311,0,740186,257,24182,2490,253983,1882964,12422,2992,54542,365,15130,0,306449,10707,31145
4002_4,995,3289,1196,12082,67415,183779,392045,32315498,6647200,3877,80885,290759,595227,784429,181292,5617710,1532560,11879,39033,81131,6276133,36961,5383,30016,664303,1651170,5181025,36297,25090,66880,44887,50858,0,50260,229466,25713,15244,35824,6880,377757,91340,271482,86331,12417,84479,9252,17438,71351,443868,787659,459405,3612734,10271,52020,67438,20283,2998374,56482,2893,16700,17552362,44197120,11387,10352,20645,36129,3202,151555,52048,9800,8895,5625,67005,473801,95583,147250,124017,2501700,178505,611946,1727744,9853265,10057,157825,14827,10152,383064,68845,99762,4019,11841,6081,19411,49366,656828,29249756,13843,47798,375487,27619,512951,38918,9789,9501,674,34308,50910,0,472678,912884,457,71615,404,33318,20645,37959,1061879,15668,4145,1971544,341,5497,0,345458,12852,38925
4003_1,1184,1316,397,7785,71610,169532,510948,24881150,6722810,3823,99165,210163,543158,764134,197982,5265339,1127516,6571,30377,72630,5123802,48414,14365,31443,784419,1170366,6318604,34804,23562,54939,54216,44200,0,48367,322308,20303,14791,34949,27136,450043,81820,576511,60702,3993,61154,10213,27959,52373,463736,701372,313802,2366235,6667,32513,56017,13935,2978460,59138,15514,13488,10883696,28671888,50387,42341,65462,83040,5526,96369,14759,7507,6684,45036,36688,449087,49809,104740,73796,2703456,710390,3570022,420261,7650256,24472,78756,6394,7651,273898,57363,135924,1827,12863,5883,50569,42058,1726843,18976236,16230,39696,267125,19677,385567,22578,3865,15050,34,21981,46766,0,379597,459522,4,56834,404,3927,16930,37901,1553614,14600,3384,2568871,295,6379,0,144383,12723,28993
4003_2,116,683,559,7609,54956,242503,443161,27392316,7050576,4561,57651,237926,486665,701390,172137,4654515,1192945,5643,28355,77517,4691572,44223,19575,30721,562466,1209173,7704684,52636,21070,31713,47187,39680,0,39845,317730,19088,10060,34566,20524,302873,53583,425000,80701,6370,50503,10228,21699,43962,459343,706167,301175,1560321,15513,30046,43040,14593,2964054,60660,3730,14106,8517046,25366256,39458,30855,49548,59248,1865,104672,26296,6397,4503,13952,16128,441543,44293,85185,59944,1667909,421309,2445498,421461,7307287,25267,33312,9522,9036,104785,57974,84483,2651,10000,2507,33740,36421,1498622,16830058,12764,33423,239553,33996,284932,23568,1153,9382,290,31421,42688,1264,336978,438033,797,54586,0,723,4776,32226,3537204,12714,3656,8351952,402,3568,147,35974,4704,14685
4003_3,1182,3384,335,7088,58458,165369,161856,28754536,6041144,4222,46832,333126,528366,770819,182072,4775045,1750676,6085,30908,89928,5128325,46470,5562,21395,604556,1015648,6264232,48545,11772,26488,34352,34458,0,40855,277791,24046,14022,31264,26994,435614,45257,271820,118386,5675,29916,11159,22440,35908,381690,705365,307286,3155138,11433,31192,58431,13426,2822943,60907,14153,11975,12207760,33749080,23338,12010,31531,35018,1345,99451,28988,6710,5313,14655,38840,484766,56806,101702,89997,1619280,292378,1436080,364696,9145737,10880,56404,4036,11388,165328,76947,104056,2175,8952,3586,18195,51181,1013235,22434886,10469,30872,276523,23586,312196,23574,2259,11782,0,25951,36670,0,459634,576604,6,140386,350,3851,13275,42443,1333291,14846,3186,2222722,102,4326,147,115433,9038,10760
4003_4,725,10157,535,8088,53195,231530,451295,28464954,6802366,3666,80292,334835,435845,641802,174753,4313369,1692616,8769,34973,83148,4201192,39498,15080,26534,449846,1401243,6477278,42636,15894,52237,38160,36983,0,44682,351993,19373,13310,35383,23535,427064,58031,546260,92570,7641,68898,8501,15161,45566,561775,686692,321359,2486230,9973,28058,51856,13938,3917152,65233,14064,12488,10222439,29451794,51762,35363,57099,64105,1382,100314,45285,7846,8584,11778,31156,463171,61949,96454,73375,2223374,679138,3870968,284744,6865360,26166,117495,8011,12567,181015,81132,171114,2979,10795,3623,38842,47191,1345932,19957862,14138,37779,323606,40798,371828,27969,3112,12609,501,32794,51024,328,460170,700226,251,347867,674,2969,15128,103640,1839872,16325,2877,2812141,324,7092,0,116147,6980,14961
4004_1,2622,3688,749,10117,92198,183753,8029,30436916,6835588,9249,60931,207202,443353,933408,216821,4067172,1806558,4673,61618,74157,3902280,42800,18165,33494,553240,1365322,5691222,30901,59578,46686,43755,55346,230,42597,775983,19191,22657,158743,62553,280363,76973,366217,155200,5805,69546,15679,24974,54576,646857,745038,640430,1100795,5961,74639,98628,20091,4866003,134304,27893,4826,15546031,39999656,73384,48178,82115,117985,3822,152017,145471,7752,6024,198718,403151,464221,798256,107841,10424,425008,752307,2460962,3855715,5945358,21785,699758,5566,52732,1092733,80797,522977,3500,13437,964,103589,52251,153764,27467336,2678,197072,389758,41823,244409,44155,1488,63381,1203,9977,36872,1822,2066548,1308070,0,40768,124,34681,11810,26404,2141784,23409,2675,37129,3945,24617,0,327700,56451,35178
4004_2,1305,2135,0,9808,97243,136633,148000,28560878,7418267,10756,44348,322082,574472,864908,188326,5080640,1856960,6098,62690,84657,3193037,43569,10086,26430,795198,1241518,5589808,34798,40564,36822,31815,48407,0,50148,893527,19331,18713,161097,38986,347266,64690,412248,83075,7166,45166,14310,17872,56742,546820,733691,600073,1357192,9301,67759,75041,25157,3770608,147455,26247,4935,14858162,41286444,91059,74881,130847,183869,2397,131834,90976,9213,6266,50641,352812,483151,531654,93988,8727,483780,806088,3421999,3079685,7148736,29460,570848,5582,50226,1120790,125999,396577,3724,10330,1255,61689,43695,43738,31463238,4679,226057,589664,58768,185402,43618,947,68634,282,16444,26535,2363,2422448,1145225,470,84071,162,50803,17231,25465,807933,22441,3168,15360,6214,16663,109,319357,50069,59112
4004_3,333,2025,1382,11943,101217,131908,379321,34038836,7801218,8881,64185,270488,585027,1004314,276112,6588269,1243882,7989,66348,81615,4397186,47408,9104,29055,323295,1386973,6152036,41323,40543,40940,47704,55981,0,43297,1175354,21888,20193,249008,40495,331878,64384,496274,149804,6853,75978,10543,16332,49751,572572,780416,692623,1429634,11408,82023,87029,25809,4333383,124887,8129,6375,17163712,45601068,98936,64709,116370,136909,6468,149153,106154,8436,7337,86849,303014,582850,611028,124733,11670,670737,912715,3703634,2932594,8632910,27678,776573,3182,44719,1026878,71234,448302,4013,7883,1882,57712,54505,77642,28593306,4704,186638,414145,33214,274951,39690,1754,60868,166,13423,31632,703,1908870,817804,6,70791,191,49326,17306,36573,648036,25993,4241,13859,2817,16550,0,244219,46290,41443
4004_4,867,1248,598,9909,378543,142861,43895,32973458,6674636,8604,77642,246416,641037,606067,130269,4284131,2090481,4699,52240,88405,4536341,81973,12634,25810,811076,710778,5108460,12889,9797,29612,50044,35450,0,34468,1401025,36587,7948,57405,37563,317469,58882,151983,87963,5201,130657,43821,17336,41039,617036,766861,258179,2053010,9502,24581,45494,14663,4288816,117128,49567,9013,17703838,57479312,30718,65055,80018,163643,3782,81959,31561,5750,7798,79597,77800,358392,46857,123277,6622,290434,249817,863580,755283,7208677,13639,269186,7935,19808,344120,40607,166958,5093,5457,1444,19568,41950,208366,25445480,4141,31615,358643,27317,348904,31905,862,7828,289,15704,52923,1240,1279318,145995,0,20233,12969,2044577,2022,9320,979430,13047,181269,2018175,312,36628,0,316207,16253,13176
4005_1,1424,322,11515,10032,163006,193669,23999,37941512,8232588,13475,70689,232717,767891,939484,154066,9164752,899339,7521,66379,83066,4495845,53617,6451,37132,879286,1109450,3922656,11584,26858,32815,70509,37448,3240139,35778,268668,31406,15115,38760,34040,554968,106276,250795,92646,10246,91321,32734,30011,35302,445834,1016721,340883,3077090,1041262,46034,36558,12820,5249062,169571,41670,51419,15311095,43195928,2210,20739,25220,57729,5063,106147,15325,9794,12787,131947,108099,357853,26587,53525,52027,180024,103181,408352,148041,6333709,4041,440584,5405,17249,287746,73374,35346,8058,9405,1692,38509,55132,179493,25726400,1843,30634,516483,29289,281043,44228,740,17397,2311,20230,41699,218,955022,353857,0,28977,474944,663100,6554,6437,642454,14752,38668,1573626,577,62685,251,441017,11240,20594
4005_2,1456,4731,2456,8906,170192,230049,25144,40256856,8560035,10932,51577,268886,673060,1059591,137931,8546842,1109340,11685,58831,85041,4942650,57184,8725,34541,782227,1339258,3727750,10573,34724,29761,53626,48909,1576532,37987,329246,35082,8824,30280,40872,568657,94878,270889,53872,7812,90968,81994,22741,46095,478505,989451,344321,2753662,20275,51314,44295,13369,5850684,156476,35188,53609,14608733,42602916,6688,42137,63894,140513,3823,114386,39192,8483,15448,81465,160090,338205,24008,108296,74938,168782,131271,743584,171523,6401040,8915,528669,2509,20605,360938,68353,35183,6781,9762,1788,85021,42597,106566,30148840,2553,37821,421184,11114,186560,39992,4904,21792,1216,12696,52680,1063,1144926,627336,0,186949,1469,285856,10395,73826,977558,13699,46773,2487914,898,58578,421,538996,16091,21535
4005_3,4117,9877,586,8460,120028,311042,19070,38582652,8557337,15494,45586,306627,641547,1005004,162922,7272763,2221431,12987,60730,84149,4888001,48163,8583,24302,657761,1313280,3707446,9614,9878,22342,57334,49079,301644,40240,280784,34655,14293,32959,38243,492927,58322,208078,80734,8439,103327,20580,13426,48602,529889,1009564,388419,2160101,5940,46744,48268,12665,5119842,150092,38881,49578,13066986,35319228,15035,35805,59861,122209,964,115863,44371,7954,14351,63870,69645,366174,47436,107765,72684,216991,182316,1046751,162375,5338892,12406,179852,5117,15742,161284,76491,48157,8649,9417,1253,23488,53780,1410024,29076156,2765,31663,435493,29193,455258,38686,2100,16263,2532,23268,37646,832,790707,942211,0,341746,379,194287,6092,127092,1325270,13422,12621,3231064,131,40681,1759,219533,6895,26818
4005_4,636,2727,361,8480,183663,171540,19761,39677840,9108874,14473,36210,282980,775281,970436,164841,11398900,1341761,11943,68955,86097,4417720,42229,5965,22920,756683,1259497,3623293,11982,5004,16855,149730,49660,2677950,46709,341181,24064,15008,43224,35178,528367,45881,305979,79344,3286,57296,21110,10907,50231,391012,976354,295758,2849070,31416,49457,45308,16927,4867961,163448,40926,47564,13752409,37432384,19973,21565,39479,70416,2910,89999,25477,7885,11028,32115,59684,357573,31513,89250,66112,564618,184993,1387674,132434,6144500,11026,159891,3204,17849,118885,65698,56904,5205,11383,4372,13289,48576,371070,30847244,6221,42647,417094,83453,391490,35084,2226,15569,2440,21816,42073,42,896677,1126122,0,171498,173,248576,0,62254,740005,16679,22841,1735503,276,26598,318,158711,6959,20289
4006_1,1069,2070,429,11351,74099,166648,174204,32908002,6485859,10230,153689,188333,456542,1079589,270742,4793455,2780780,11092,72815,71230,4943076,43433,9552,57150,52695,1768094,3413106,26799,46025,41901,39963,75506,0,58848,804012,20257,26998,65514,55843,529529,60437,342840,58974,10759,62235,15238,19696,69251,517556,839514,755726,1681497,6584,87366,85153,21515,4469726,132027,25267,13765,15068942,40547444,35844,56977,81114,130698,30226,177214,32131,7956,8179,320525,302286,491904,743017,127004,155557,944833,358104,1081299,248887,7361108,13810,520316,22576,26131,938269,50945,2029376,4260,13218,447,48475,57722,283067,24676908,4747,137126,439251,61017,147628,53966,1282,67428,432,27655,55294,915,1119096,599302,0,28608,375,19584,21729,6953,975431,24946,3427,16865,3412,11337,296,233345,44240,34652
4006_2,999,5491,2512,16915,84447,118440,229126,25808034,5354628,11132,166873,209278,549026,999699,239092,5792236,1174837,10608,67329,72013,4091624,39344,7950,38890,47774,1806886,3734216,22305,56300,62693,40394,61446,0,50129,704634,20645,22158,44330,21800,724743,97618,445080,139241,9366,90161,15176,17979,58441,513855,825370,771091,1710575,6708,75901,85127,18642,4861446,159652,23747,14925,13874778,37661384,62651,235352,227745,569113,5822,170472,37401,8822,7365,376339,553373,510582,408298,125814,172871,591006,647360,2204861,261689,7949972,25963,1330055,17636,48598,1713830,49486,4291445,4514,15611,1335,89513,52357,78590,25371408,5209,126763,405265,66894,87584,51556,2663,84523,86,18807,40572,823,2044167,202890,311,165275,924,29183,20788,52385,719639,19326,3461,14219,5728,18782,129,488118,79658,17886
4006_3,1829,10888,618,12646,77220,126544,212070,23488458,5565900,12967,130824,197002,571596,963612,212444,5370647,1528993,7432,82943,73654,4882351,41612,122942,36052,173012,1651431,3601687,24509,57707,58996,39143,62527,0,57425,835844,22856,19334,99123,29867,876326,97122,501556,124966,10973,66035,13870,20720,61375,478434,800822,758005,1366472,6892,89108,92951,22940,4144945,168805,24016,15244,14739579,38636232,120038,123653,177375,266805,10715,175399,102960,9668,5901,71204,506095,510776,779828,106202,175337,996818,857444,4141994,236838,8162449,38828,1017834,8145,37577,1609701,51128,1426355,3866,16214,3615,109225,51667,119751,22100260,8253,142158,363967,31452,115187,47164,4683,115535,0,34707,46285,142,1657749,1157396,672,413708,201,24465,16688,101530,769825,21751,3060,9371,5431,16580,106,489132,66730,37451
4006_4,235,10616,3115,12209,133687,176902,120263,24069860,4767881,14457,151940,190441,450323,937113,196039,3860156,1528987,6977,80414,77689,5126436,45615,54518,45740,79512,1378483,4805012,30051,56731,48332,38225,64020,258,48620,509450,23946,23982,46528,35990,608268,81278,398737,76548,8032,60276,11913,20889,48868,379344,747703,644247,1745256,9743,86590,79345,19504,3910752,176531,22409,14871,13298887,35959244,75575,48621,80332,105682,5939,152665,34513,5454,4712,458981,472773,486509,360472,106937,157745,504791,481056,1938765,190387,6832510,24779,915324,14091,31762,1584453,48608,2793086,3958,17046,1878,65920,60095,116059,21287788,4212,100488,337035,24282,102534,43568,1809,112575,0,29807,40532,1268,1472577,302605,212,311207,0,16796,4796,109219,573628,21457,3597,11894,4633,17456,0,461934,69183,19392
4007_1,1098,12016,303,8127,81250,185161,142386,23884396,5030450,4187,55685,172715,319112,789631,158139,2693798,1615719,10488,38844,56708,4165680,37249,8742,19234,1159822,1335198,3620531,18759,15600,35396,37174,38416,0,46254,869393,16696,18982,34315,16641,450866,49635,296916,120491,8606,72710,11019,10056,40134,472587,733379,382559,1830524,12874,51841,47921,14396,3324673,63406,13108,11076,13058524,35627664,13676,9680,23841,31623,3255,127243,23526,8188,10176,60114,43558,282613,65080,87431,95158,161175,228082,880346,952913,7088616,6534,137363,5856,17147,211343,42512,138776,7408,7503,1133,10963,46311,1021513,22438450,1832,38472,280711,7734,246697,35922,1222,11397,284,27010,61074,0,642409,778196,0,415401,158,20100,14542,145595,896806,14997,4341,25039,917,4568,0,177031,8994,26955
4007_2,126,1159,116,10194,98921,143793,212157,24182430,4540653,4724,132600,164869,398332,772094,157285,2674065,1563598,7554,37786,59960,4646742,37786,5218,40624,517357,1497024,4300772,18832,15788,93450,31946,61066,0,37994,506088,17386,10770,31808,19797,612157,137203,359890,77197,7998,120181,9012,22813,42347,466738,698743,330593,1873330,10529,43744,50740,16925,2833487,72479,6255,16053,13965377,36745904,14396,27117,44243,89227,972,108948,18132,6507,9263,31941,91598,318903,88081,96690,70683,421234,260438,823291,615021,8152134,8520,196758,4078,14088,600356,45240,227603,5837,9247,1508,25836,52741,1807431,22413110,4295,41148,287770,7107,295040,30933,1268,12805,0,40201,48720,0,517379,469931,243,148293,217,18366,14854,20848,1434578,14565,4303,2254496,116,9171,0,510996,19169,35992
4007_3,853,3684,673,9560,114408,173709,175762,25471246,4889202,4281,101389,217340,415527,1038071,200172,3033735,1361351,9564,39400,70858,3895602,42162,6283,32821,699639,1437034,3985395,24476,18998,72159,38753,48083,0,44390,637583,20002,16656,31351,22123,711554,109042,280546,45865,6321,97340,9357,21742,42201,456762,710524,434710,2244592,16272,60380,55236,13934,3316396,60192,14476,11220,15464111,42754628,13761,6048,22972,32508,1056,150716,11697,9897,9971,45667,90624,335679,63491,76803,88830,140871,249463,989027,541234,7875881,6915,254602,4030,14865,474901,43093,94232,5120,9209,1126,23231,55146,1160157,27002676,1201,36797,322680,15539,262152,34942,818,14905,556,25576,55781,0,608333,419898,0,155267,280,24695,9511,39793,906432,13677,3834,9800,311,5483,0,481970,16939,43858
4007_4,963,7286,288,13336,115372,185224,193336,24018298,5044188,3795,107278,186397,338276,803694,163078,3161288,1042257,8888,36819,66326,4709358,38236,8768,33856,689905,1428309,3760678,21460,15285,64738,39176,45217,0,38413,613788,19906,14056,30770,26257,519014,88659,360654,78979,6076,96191,12755,16357,42586,461365,695430,377121,1956743,12563,52596,54568,15508,3041261,65311,15737,11690,14033976,36421372,22549,11391,37532,47124,3481,128040,25368,6646,9625,167,59419,294463,70187,81571,72229,314109,343618,1698196,613616,7407985,12924,104829,7766,8958,356770,43521,172293,3296,10216,878,19714,56136,2679748,19827122,4479,47483,264314,16773,333637,35012,1423,12274,1074,27511,60139,0,367614,469735,0,238370,409,14306,11367,83930,1390206,12947,4762,2377922,149,7117,0,314993,11775,15539
