,m_c18p_0001,m_c18p_0003,m_c18p_0004,m_c18p_0007,m_c18p_0009,m_c18p_0011,m_c18p_0015,m_c18p_0021,m_c18p_0022,m_c18p_0026,m_c18p_0027,m_c18p_0028,m_c18p_0032,m_c18p_0037,m_c18p_0038,m_c18p_0039,m_c18p_0044,m_c18p_0046,m_c18p_0047,m_c18p_0049,m_c18p_0055,m_c18p_0056,m_c18p_0061,m_c18p_0063,m_c18p_0067,m_c18p_0068,m_c18p_0080,m_c18p_0081,m_c18p_0096,m_c18p_0097,m_c18p_0098,m_c18p_0106,m_c18p_0108,m_c18p_0114,m_c18p_0115,m_c18p_0118,m_c18p_0120,m_c18p_0122,m_c18p_0126,m_c18p_0129,m_c18p_0131,m_c18p_0135,m_c18p_0137,m_c18p_0139,m_c18p_0155,m_c18p_0158,m_c18p_0160,m_c18p_0161,m_c18p_0163,m_c18p_0170,m_c18p_0172,m_c18p_0178,m_c18p_0182,m_c18p_0190,m_c18p_0199,m_c18p_0210,m_c18p_0220,m_c18p_0222,m_c18p_0223,m_c18p_0230,m_c18p_0233,m_c18p_0234,m_c18p_0238,m_c18p_0239,m_c18p_0240,m_c18p_0241,m_c18p_0244,m_c18p_0253,m_c18p_0257,m_c18p_0265,m_c18p_0269,m_c18p_0270,m_c18p_0274,m_c18p_0276,m_c18p_0280,m_c18p_0281,m_c18p_0284,m_c18p_0290,m_c18p_0297,m_c18p_0298,m_c18p_0300,m_c18p_0301,m_c18p_0302,m_c18p_0305,m_c18p_0309,m_c18p_0311,m_c18p_0318,m_c18p_0322,m_c18p_0326,m_c18p_0327,m_c18p_0329,m_c18p_0334,m_c18p_0341,m_c18p_0349,m_c18p_0353,m_c18p_0355,m_c18p_0356,m_c18p_0360,m_c18p_0363,m_c18p_0374,m_c18p_0375,m_c18p_0378,m_c18p_0380,m_c18p_0392,m_c18p_0395,m_c18p_0397,m_c18p_0402,m_c18p_0403,m_c18p_0418,m_c18p_0426,m_c18p_0428,m_c18p_0430,m_c18p_0432,m_c18p_0438,m_c18p_0441,m_c18p_0442,m_c18p_0447,m_c18p_0456,m_c18p_0469,m_c18p_0475,m_c18p_0500,m_c18p_0501,m_c18p_0527,m_c18p_0530,m_c18p_0572,m_c18p_0574
4051_3,4132,3036,1369,18506,66051,207503,144517,30138050,6374393,14570,125172,355634,682966,1166815,303745,5687871,3845198,12146,70052,85972,4397112,54549,8081,43905,199251,1180635,4694545,20653,59831,54577,22772,74088,0,45200,1723981,25527,23006,66368,41271,1079828,97622,362538,117178,10301,68672,12664,23392,67343,558951,878170,889957,2948800,7889,71594,84910,27204,4215884,163501,22018,6446,14037803,38392120,31827,135974,162694,410558,5985,198838,58059,6859,8478,659002,459911,704150,728063,134358,148013,6878082,314233,836838,9162588,7724944,13337,980100,10331,51699,1515395,86140,2214246,5655,19514,11779,88161,52875,67586,29814762,23169,182486,426746,40531,142691,46666,1673,75285,1719,25375,46027,1307,2277234,714140,0,242801,0,24248,16671,27060,546202,19704,2740,12617,3967,17040,130,426153,63653,26593
4051_4,1971,23791,1418,14984,107656,196749,386679,32930956,7265902,11427,136984,340616,579766,1072432,327300,6361986,1382717,17439,78462,90548,5247501,49392,13481,56194,1170368,1414077,4673222,30949,74312,71881,57911,71270,0,47493,1837459,26239,27415,74852,41866,1325337,117054,423310,142748,6992,75575,14946,44251,78374,554782,797082,1017241,1261280,8151,80359,83613,27346,4411798,150710,21771,7094,16175449,42938820,59305,153327,220512,509768,5784,227926,114507,9450,7862,308118,517002,629235,572947,130163,260821,10706147,488337,1883984,9158982,7885992,28330,1149215,8683,36513,1729426,112931,1090097,4837,21099,18985,119203,48834,87990,29043666,31736,212144,533115,86098,170154,50267,2678,54584,50,20546,52051,1363,1626869,1350748,9,1055521,244,32018,43500,239629,468183,21138,3838,12160,1906,18601,124,484970,77705,37756
4052_1,2790,7789,228,10383,44380,141614,275896,28934836,6574488,4027,81883,182445,533838,622100,137751,4119852,2612215,6930,40021,62735,5206466,36737,2668,20501,454728,975814,5514975,27351,9884,37141,22812,35499,0,37665,264202,22445,14361,28221,20117,326164,58628,401312,169606,5742,84622,11319,33770,46144,571404,660204,334396,2528158,9657,38324,63476,14373,3376398,67409,8839,18827,12211211,32641898,0,335,1086,4996,3111,118403,20046,6591,23555,12595,23667,302114,55018,82784,38039,235545,18789,4479,1132646,5265737,2974,82425,6930,19362,136250,63461,284967,5722,9100,336,11084,52588,1082573,21410240,1641,45090,262468,57330,438139,31831,1332,3509,756,27375,66626,942,646956,141699,24,380040,0,940,21634,89724,2714212,12732,2264,4718694,149,6129,0,80619,6093,19122
4052_2,854,12769,116,9691,76908,173940,543105,24255320,6373331,4737,49231,166097,458117,639289,147524,3380400,2641768,5243,33689,61773,5485198,34243,3519,7640,422260,1097464,5162814,21783,5907,2996,39338,34436,0,40501,340069,21662,8782,30205,32186,370208,2580,209180,124620,5823,21090,9952,47614,65301,653324,647573,361135,2381035,9613,31618,58096,14545,4020375,73120,28095,19658,9935905,28021094,3503,13030,11475,25980,4672,119877,33001,5007,26406,54943,1435,285261,80443,83134,40275,338284,83658,361975,792669,5369737,3105,3778,8927,11700,2587,53487,307560,3414,6849,1905,5008,28436,1957682,18768334,3508,47272,228111,25857,834511,29125,1054,3046,293,29585,45917,389,421975,460266,1989,450637,957,1016,38626,159016,2618843,11876,3456,5339263,250,266,160,367,1410,17329
4052_3,2518,4650,234,10654,49764,158339,9698,29280128,6103199,5502,83645,181764,483927,665744,152056,2967350,3911941,6851,33551,62204,5520172,40296,3440,22433,427360,942736,4304327,19589,26774,58059,32323,38875,0,43203,469905,22503,10050,32383,24623,517989,77247,290818,52745,8365,70381,8806,42180,54277,559907,675402,408863,2610579,21373,48754,66647,16481,3694005,64231,19837,17042,13186233,34892072,3166,766,7913,11166,3762,129400,58102,7070,21430,14825,36638,344849,66657,68124,46236,110551,143663,825178,952932,6293108,4599,101082,8223,12359,226342,58518,349652,4903,7174,596,30123,53069,1364425,23986130,1955,55482,289896,15546,839166,30798,2065,7392,240,30997,67850,425,537465,332553,0,248570,171,1469,29955,46210,3371960,13628,3113,5304068,0,7741,0,158567,7849,29215
4052_4,2524,12799,421,12005,38363,134801,325046,28872666,6025716,5051,87183,181575,523910,678441,143906,3363827,1413816,9167,40007,59905,5543016,36056,1321,20573,546843,1040450,5605372,25982,5567,63079,34898,36461,0,33395,367064,21181,11288,28975,17302,341669,69784,232182,95220,10885,77269,9417,24645,87710,545056,640510,346175,2639160,3739,29671,62536,15786,3827334,73040,2162,13600,12280224,33858156,1281,0,7249,11127,4362,111929,53061,6599,21940,16309,38541,313457,58261,65781,35920,93831,111372,512704,639495,6312163,4183,115802,4777,17795,202721,66379,408973,5280,7224,1155,37812,55226,1063594,23489988,829,52429,294268,21283,769838,28462,1727,8005,146,27448,54473,0,582726,125613,1108,517376,114,2024,20523,160864,1430182,14485,2188,2061693,180,8569,138,146624,8013,25177
4054_1,2053,2169,1734,15905,76425,178727,233294,30927948,6666202,8732,93504,198002,480033,1032470,214459,3282634,2905484,8916,59561,69861,6620614,47163,10276,56378,1025279,2335476,4048087,22473,56752,55624,45241,75130,360,63121,1151223,22745,26523,56718,43305,361712,91414,326867,130900,15494,89267,18058,50481,88333,594774,774312,910267,1547572,6956,167988,95474,29050,3610003,125887,8262,13687,16586661,43209284,3826,0,15230,31969,8824,226369,123441,8077,10066,25413,573960,446293,569061,114343,2469,833196,129577,326776,3235890,6376825,5283,973912,17162,35805,1868030,63965,735404,10801,18662,1732,31010,63781,124662,25096930,5643,157552,391845,103814,132372,47713,1493,21379,162,21764,54675,934,1615210,247738,0,16332,124,24483,26405,5415,1179609,18101,3190,25852,2294,14886,0,510949,78210,12100
4054_2,3201,3029,1145,12676,63067,140344,127007,28156656,6387971,10205,115045,244106,533699,965838,198710,3796264,1605298,6757,73392,68574,5330422,36352,1218,58437,223831,2202998,4075409,31710,42746,55092,44422,56426,0,49933,1338030,20670,18389,40472,33009,386411,99072,267236,78414,19255,92172,15397,37865,72574,501463,726164,888258,2201248,10842,117036,99622,26559,3739044,132324,178400,15404,13101551,36504984,247,0,351,6262,7901,210751,133602,7421,8826,516120,544697,468253,643144,101310,3387,847660,15749,237,3202221,6389000,4927,1162712,6954,41179,1739320,61840,640290,5933,18870,828,95891,59882,57476,22746672,5443,174291,393304,55277,98613,40545,4822,7140,272,19535,46692,1752,1923331,78816,0,100094,128,15648,17517,20844,772046,20965,2617,12025,6000,21499,100,515725,76754,20378
4054_3,4476,4490,1401,9127,51612,155185,233878,29774766,5908870,12406,99505,174362,380230,992148,212363,3064328,4675518,10805,69021,64102,5413779,37432,0,48924,42942,1894214,3809523,21163,54061,41172,50019,65537,0,47936,1237381,25239,20844,38959,35562,513108,92941,213776,77505,15182,85130,13096,28837,80094,516681,757296,915900,1595282,12472,89689,106669,22894,3289160,140585,4073,16004,14110240,37303144,352,425,3245,14123,6004,205067,62251,5618,8272,494106,443951,446119,498820,120945,3936,463434,47788,78594,4754172,6019868,9002,1006571,9481,43071,1375866,64199,436946,8777,18873,1124,49603,55807,83844,24150874,3643,156805,348999,42791,92144,43391,18588,14302,56,20426,51711,1313,1818163,82220,361,109517,246,12277,26451,35267,689452,18185,3642,15024,4237,17900,106,384480,60503,5574
4054_4,2273,2206,1769,10711,64260,155874,95052,30734248,5752130,10517,125041,212784,499926,1021071,200543,3398166,17611578,6790,65151,58513,3772564,36144,782,61407,101087,1121916,1382931,8418,87730,77943,42548,64051,0,59932,934131,24077,23303,47767,37950,474393,127554,227942,115449,7688,94916,13940,42481,73270,362169,725053,860958,1437720,6939,116205,90311,28250,2041742,138156,4099,15949,15040352,38002956,0,3180,16393,46845,4765,200501,79143,8159,5188,363877,689973,431814,443764,102147,2922,361797,106759,158887,4460613,6564354,7083,1557789,8444,45787,1926596,42135,530110,6196,18188,1017,79527,56537,47378,24785412,2988,168414,380054,64509,115983,46431,23947,14272,837,31165,47754,613,1868162,188492,1243,90613,384,20554,74898,32157,774687,19458,3507,9348,1754,24379,263,579000,92277,21887
