general-projectname	general-readlength	general-readlengthr2	general-runname	general-samplename	subsample-rawreads	subsample-subsampledreads	fastqc-meanreadqualityR1	fastqc-meanreadqualityR2	fastqc-pct-adapter	fastqc-pct-deduplicated	fastqc-pct-dimer	fastqc-pct-gc	fastqc-sequencelength	fastqc-totalsequences	fastqspeciesscreen-pct-Adapters	fastqspeciesscreen-pct-Chloroplast	fastqspeciesscreen-pct-Mitochondria	fastqspeciesscreen-pct-NoHit	fastqspeciesscreen-pct-PhiX	fastqspeciesscreen-pct-Vectors	fastqspeciesscreen-pct-ecoli	fastqspeciesscreen-pct-human	fastqspeciesscreen-pct-mouse	fastqspeciesscreen-pct-rRNA
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	507.D1	35316	35316	34.6	30.9	0.05	15.28	0.00	53	301	35316	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.01	0.00	99.88
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	508.D2	28564	28564	34.5	30.8	0.02	14.01	0.00	55	301	28564	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.01	0.00	99.90
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	51	59690	59690	34.5	30.6	0.03	13.84	0.00	54	301	59690	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	99.94
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	519.E1	40009	40009	34.3	30.2	0.01	14.57	0.00	55	301	40009	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	99.98
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	52	75200	75200	34.5	30.6	0.06	13.34	0.00	55	301	75200	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	99.93
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	520.E2	30844	30844	34.6	30.6	0.03	15.60	0.00	54	301	30844	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.01	99.89
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	53	60114	60114	34.8	30.9	0.07	12.32	0.00	53	301	60114	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	99.84
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	531.F1	19497	19497	32.7	30.0	0.01	19.78	0.00	54	301	19497	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	99.90
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	532.F2	12911	12911	32.4	30.0	0.01	22.90	0.00	54	301	12911	0.00	0.00	0.00	0.11	0.03	0.00	0.00	0.00	0.01	99.85
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	54	46715	46715	34.6	30.8	0.15	11.86	0.00	55	301	46715	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00	0.00	99.97
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	543.G1	31551	31551	34.6	30.7	0.03	14.34	0.00	54	301	31551	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	99.94
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	544.G2	22150	22150	34.6	30.7	0.14	16.69	0.00	55	301	22150	0.00	0.05	0.00	0.19	0.01	0.00	0.00	0.00	0.00	99.75
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	55	63742	63742	34.6	30.9	0.05	13.40	0.00	53	301	63742	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	99.87
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	555.H1	29909	29909	34.4	30.5	0.05	17.29	0.00	53	301	29909	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.01	0.00	99.86
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	556.H2	19461	19461	34.3	30.2	0.12	19.43	0.00	55	301	19461	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	99.84
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	56	53358	53358	34.5	30.3	0.07	14.80	0.00	54	301	53358	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.01	0.00	99.89
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	57	57143	57143	34.4	30.9	0.10	13.06	0.00	54	301	57143	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.01	0.00	99.85
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	58	61470	61470	34.4	30.7	0.07	14.57	0.00	54	301	61470	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	99.93
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	59	77030	77030	34.8	30.9	0.06	11.74	0.00	54	301	77030	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	99.85
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	6	52375	52375	34.1	30.8	0.16	13.95	0.00	53	301	52375	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	99.92
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	60	43088	43088	34.5	30.7	0.17	15.78	0.00	54	301	43088	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	99.93
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	61.F1	39544	39544	34.0	29.4	0.21	16.53	0.00	54	301	39544	0.00	0.00	0.00	0.08	0.01	0.00	0.00	0.01	0.00	99.90
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	62	81303	81303	34.3	29.5	0.05	14.63	0.00	53	301	81303	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	99.87
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	63	93040	93040	34.5	30.7	0.07	13.16	0.00	54	301	93040	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	99.86
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	64	82079	82079	34.6	30.9	0.03	12.26	0.00	53	301	82079	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	99.93
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	65	74522	74522	34.7	31.0	0.04	12.21	0.00	53	301	74522	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	99.90
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	66	80895	80895	34.4	30.5	0.10	12.97	0.00	55	301	80895	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	99.90
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	67	74865	74865	34.3	30.6	0.09	13.99	0.00	54	301	74865	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	99.84
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	68	66217	66217	34.5	30.3	0.06	14.75	0.00	54	301	66217	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.01	99.88
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	69	77789	77789	34.6	31.0	0.19	11.78	0.00	54	301	77789	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	99.91
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	7	72694	72694	34.4	30.6	0.03	13.46	0.00	54	301	72694	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	99.90
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	70	75883	75883	34.4	30.6	0.06	13.93	0.00	54	301	75883	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.01	0.00	99.81
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	71	102956	102956	34.7	30.9	0.07	11.44	0.00	54	301	102956	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	99.87
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	72	101118	101118	34.4	30.5	0.06	12.92	0.00	55	301	101118	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	99.86
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	73.G1	58404	58404	33.9	28.1	0.07	18.33	0.00	54	301	58404	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	99.92
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	74	99215	99215	34.4	30.6	0.05	12.62	0.00	54	301	99215	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	99.87
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	75	77358	77358	34.4	30.5	0.06	12.65	0.00	55	301	77358	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	99.91
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	76	89525	89525	34.3	30.4	0.03	13.31	0.00	54	301	89525	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	99.96
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	77	69727	69727	34.6	29.8	0.13	12.93	0.00	54	301	69727	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	99.80
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	78	93263	93263	34.5	30.7	0.08	12.29	0.00	53	301	93263	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	99.88
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	79	87451	87451	34.3	30.4	0.06	13.73	0.00	54	301	87451	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	99.90
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	8	63467	63467	34.7	29.2	0.03	15.22	0.00	54	301	63467	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	99.96
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	80	62762	62762	34.3	30.1	0.09	13.42	0.00	54	301	62762	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	99.91
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	81	70628	70628	34.4	30.6	0.07	13.48	0.00	54	301	70628	0.00	0.00	0.00	0.10	0.00	0.00	0.01	0.00	0.00	99.89
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	82	71119	71119	34.5	30.7	0.05	12.95	0.00	53	301	71119	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	99.87
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	83	81420	81420	34.4	30.3	0.06	13.02	0.00	55	301	81420	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	99.93
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	84	83959	83959	34.2	30.3	0.06	14.16	0.00	54	301	83959	0.00	0.00	0.00	0.09	0.00	0.00	0.01	0.00	0.02	99.88
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	85.H1	55738	55738	34.5	30.4	0.03	14.58	0.00	53	301	55738	0.00	0.01	0.00	0.04	0.00	0.00	0.00	0.00	0.00	99.95
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	86	87003	87003	34.5	30.5	0.16	12.89	0.00	55	301	87003	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	99.84
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	87	74729	74729	34.6	30.4	0.05	12.98	0.00	55	301	74729	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	99.82
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	88	84216	84216	34.6	30.6	0.14	12.50	0.00	54	301	84216	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	99.86
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	89	56732	56732	34.6	30.2	0.11	14.26	0.00	54	301	56732	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.00	0.00	99.78
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	9	65687	65687	34.6	31.0	0.13	13.36	0.00	53	301	65687	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	99.86
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	90	83472	83472	34.6	30.7	0.10	12.90	0.00	53	301	83472	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	99.89
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	91	66830	66830	34.3	30.3	0.04	13.94	0.00	54	301	66830	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.00	99.91
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	92	67854	67854	34.3	30.0	0.17	14.53	0.00	54	301	67854	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.01	0.00	99.83
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	93	67718	67718	34.7	31.0	0.27	12.14	0.00	52	301	67718	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.01	99.90
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	94	57320	57320	34.7	30.7	0.11	15.04	0.00	53	301	57320	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.01	0.00	99.81
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	95.A1	65311	65311	34.1	30.2	0.06	14.35	0.00	55	301	65311	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	99.87
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	96	58268	58268	34.3	30.3	0.08	13.39	0.00	55	301	58268	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	99.86
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	97	66561	66561	34.4	30.5	0.04	13.18	0.00	55	301	66561	0.00	0.00	0.00	0.11	0.00	0.00	0.01	0.00	0.00	99.88
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	98	52488	52488	33.8	30.4	0.09	13.76	0.00	55	301	52488	0.00	0.00	0.00	0.24	0.01	0.00	0.00	0.01	0.00	99.74
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	99	68105	68105	34.6	31.0	0.16	13.32	0.00	53	301	68105	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.01	99.81
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	BLANK1	742	742	31.9	27.6	9.58	57.68	0.13	53	301	742	0.00	0.00	0.00	1.62	0.00	0.00	0.00	0.00	0.00	98.38
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	BLANK10	7307	7307	33.9	30.1	0.43	23.29	0.00	54	301	7307	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	99.86
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	BLANK11	52	52	33.0	28.3	7.12	61.54	0.00	53	301	52	0.00	0.00	0.00	3.85	0.00	0.00	0.00	0.00	0.00	96.15
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	BLANK12	31	31	30.0	24.9	8.97	90.32	0.00	51	301	31	0.00	0.00	0.00	6.45	0.00	0.00	0.00	0.00	0.00	93.55
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	BLANK2	302	302	28.3	23.2	22.96	76.82	0.00	52	301	302	0.00	0.00	0.00	2.98	0.00	0.00	0.00	0.00	0.00	97.02
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	BLANK3	51390	51390	34.4	30.6	0.19	14.59	0.00	53	301	51390	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	99.88
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	BLANK4	2790	2790	33.7	29.7	3.71	33.66	0.04	53	301	2790	0.00	0.00	0.00	0.79	0.00	0.00	0.00	0.00	0.00	99.21
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	BLANK5	7736	7736	34.2	30.6	0.53	24.22	0.01	54	301	7736	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.01	0.00	99.81
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	BLANK6	295	295	30.9	23.5	5.64	86.44	0.00	54	301	295	0.00	0.00	0.00	1.02	0.00	0.00	0.00	0.00	0.00	98.98
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	BLANK7	16752	16752	34.3	30.5	0.30	18.89	0.00	54	301	16752	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	99.90
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	BLANK8	4964	4964	33.8	29.6	1.34	27.94	0.00	56	301	4964	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	99.82
Sonnenburg_Project_005_Merged	301	301	210826_M04141_0131_000000000-JVTMF	BLANK9	1367	1367	32.6	27.0	1.35	55.16	0.00	55	301	1367	0.00	0.00	0.00	0.73	0.00	0.00	0.00	0.00	0.00	99.27
undef	301.00	301.00	210826_M04141_0131_000000000-JVTMF	Mean	58935.21	58935.21	33.94	30.37	0.19	15.72	0.00	54.08	301.00	58935.21	0.00	0.00	0.00	0.14	0.01	0.00	0.00	0.00	0.00	99.84	
