,microbiome_OTU.1,microbiome_OTU.5,microbiome_OTU.60,microbiome_OTU.87,microbiome_OTU.94,microbiome_OTU.101,microbiome_OTU.116,microbiome_OTU.118,microbiome_OTU.191,microbiome_OTU.225,microbiome_OTU.268,microbiome_OTU.372,microbiome_OTU.417,microbiome_OTU.480,microbiome_OTU.536,microbiome_OTU.557,microbiome_OTU.590,microbiome_OTU.628,microbiome_OTU.663,microbiome_OTU.1004,microbiome_OTU.1014,microbiome_OTU.1042
4000_1,0.0302001067120088,0.785574869146633,-3.63463788013315,0.847298003026811,0.25132829848119,1.00395352243347,0.243215199733117,-0.196263618716913,0.647055611563903,0.751968452384184,-1.82378869817931,0.490826611032618,-1.78496758477657,1.19694377976485,0.961023998020557,-0.354434954415477,0.934493502783145,-1.11526703945766,-0.810184332337493,0.36593668272218,-0.0982717196968902,0.205947582572829
4000_2,-0.0787982342800727,-0.324366940706333,-0.638407110663762,0.397536401983765,-0.0975095447964123,0.601634754627154,-0.073095743830607,-0.782866668279237,-0.238600467252758,0.522124973841474,-0.670088293774906,0.218345358520008,0.0817607572672284,0.28005152627737,0.855764012154528,-0.858718347140952,0.856972751809967,0.142293262626035,-1.38492033889468,2.07711070949818,-0.772284277315559,-0.560741161055567
4000_3,0.541913828367161,-0.136350612701403,-0.944557973931638,0.502952653580508,-0.00579182428451592,0.282139876265599,0.0872308593314511,-0.517646394285984,0.880003410209496,0.393413903417528,-2.95466745453472,0.171207162448227,0.423118910168807,0.193760456035186,0.671920065603208,-1.12845099689611,0.817304313497766,-0.00922649840194386,0.269724379461177,-0.785038764245431,-1.13280218402701,1.61527497064768
4000_4,0.562950869864276,0.510965637181296,-1.09185506195931,0.658515327015741,0.417372257073325,0.118346956792722,-0.00883837534802479,-0.561028449989467,1.15876729750757,-1.54361933429741,-2.4650577364129,0.748580921840272,0.635458747861259,0.654806858603253,0.836930374839854,-0.793343652938177,0.477662537963956,0.331978801542567,-1.31041225233461,2.37121843045119,-0.684906097746719,-0.461348551886893
4000_5,0.390435097159267,-0.322643746230311,-0.179890147235286,0.641615268769536,-0.257720753187664,0.476193849181656,0.271007341919389,-0.118894860733372,-0.0276907914022537,-1.83545872993676,-0.885207710524108,0.519051203080574,0.495388522806608,0.361095349026673,0.979054965197045,-1.0700799046658,1.12431863465523,-0.190286977106247,0.0976166298197664,1.92821420893237,-1.05478484351434,-0.882085328497316
4001_1,3.10315159495542e-16,-2.82573265240647e-15,2.53957508169806e-16,-1.90405967784532e-15,-3.37493090441417e-16,7.70906060273739e-17,0,2.30084178945595e-16,2.66463041983513e-16,0,-1.4499436841539e-16,1.68939559156749e-16,-2.58011806867263e-17,-5.71106796180553e-17,-2.45045590605105e-16,1.32319480571665e-16,0,0,3.77014050782356e-16,-1.96761391153342e-15,-5.30564715055563e-16,-8.04689250373775e-16
4001_2,0.311085032321375,-0.649802048006326,0.148275250365335,0.219050935463937,0.45150186964337,-2.46431522509601,0.677806437599075,-0.143435215746431,-1.69832137683277,0.674105610441589,0.073219451701932,0.348324835912206,0.354354635400676,0.283129007699043,0.914901284083218,0.458505325926953,-1.52502287142528,-2.00336571700329,0.43198611626562,1.51138985564446,1.34514365210889,1.59432558356834
4001_3,0.258284296329857,0.47014923216211,-0.197006831217768,0.431892344700227,0.852453520154366,-1.93174510232937,0.579926612506781,0.671417086744909,-1.23811532094983,0.860805154952996,0.275254139159953,0.823839497193072,0.180268630853006,0.736921523758506,1.01368615898455,0.381620399712234,-1.02230098489245,-1.45621518082185,-1.13478123311446,-0.0575762979505835,1.42751924862484,-0.227059549750627
4001_4,0.579281816185875,0.316799224210962,-0.127574382116559,0.224110525091707,1.05096598876231,-2.1084880970239,0.993527855826119,0.586546811882006,-1.39084299570328,0.543190090462046,0.136512069314698,0.936883445365193,0.415360493252059,0.547845719447069,1.20544584324449,-0.790924107353486,-1.18913830438517,-1.63779694851669,0.905547869691272,-0.2831303524897,-0.681672193693288,1.94930779607302
4001_5,0.780276221425388,0.24027069582547,0.267078068982487,0.322892442212122,0.650004415585064,-2.28579127721809,0.866520730179965,0.599876047838986,-1.54405473959306,0.94018980918669,0.258402453510989,0.820040053686244,0.687691376590201,0.49320789752003,1.6798246280147,1.01078565029745,-1.3565044134197,-1.81995423816329,-1.4810760398031,-0.509399298789934,-0.885049354080321,2.10182830612897
4002_1,0.31186033811322,-0.655037417047974,0.233870264242164,0.486491953334337,0.0424989742006187,0.777154677419289,0.499557737699478,-1.06636296850899,0.785315206310986,-0.266053734303545,-0.211151442781558,0.406749602271715,0.356048329890733,0.0142993874549167,1.16409039702953,-1.08827592897756,0.0847719687964396,-0.163510055666686,0.308981770354628,-0.725297732772345,-1.07910519405886,-0.909749707733
4002_2,0.186268413302298,-1.17955951896746,-0.898923540858972,-0.212131822730974,-0.0392214162083521,0.401949725692548,-0.00935743521927264,-0.723396294839267,0.628257797263522,-0.161123573682664,-0.786016594924333,-0.110807334594705,0.258106194040061,-0.227927031724085,1.15910040734659,-1.30622310847895,0.295550259831063,-0.705644899159524,0.860493880499591,-1.04938901586512,0.84642671370428,1.19258866171765
4002_3,0.690865784020174,-0.459949999399114,-0.339703172589521,0.440575553406069,0.356841536400557,0.609630155860034,0.400154381476388,0.15581643321423,1.07988439364213,-1.77015996333321,-0.307228463774795,0.556792519249118,0.403030132985083,0.200216210029593,1.42381054460032,-1.0081604510817,0.605547785244853,-1.89785492743454,1.0634256756294,-0.606164610305419,-0.972024852051982,-0.78794590459526
